question,ML1,ML2,ML3,h2,u2,com
q19_happy_mem,0.00773854,0.061663376,0.778854762,0.62852725,0.371473375,1.012734542
q11_respect_all,-0.184652701,0.104878695,0.745284805,0.518934404,0.481067172,1.164125607
q6_roomhang_fun,0.284544369,-0.04049779,0.65534575,0.610322576,0.389679129,1.372861751
q14_there_hang,0.589511328,-0.054083544,0.45912857,0.693645921,0.306354039,1.90657197
q16_hang_better,0.306657695,0.21480175,0.398613889,0.461608309,0.53838953,2.469516842
q7_friends_roomhang,0.610430009,-0.122089416,0.294060707,0.506433972,0.493565638,1.53312914
q1_control,0.059334428,0.703381382,0.215392565,0.635211776,0.364787636,1.201332637
q17_eot_good,0.106740106,0.483576151,0.156638565,0.350177191,0.649817055,1.313319662
q2_getalong_hosp,-0.072766217,0.88137401,0.132873386,0.767655645,0.232343051,1.059364111
q13_badday_there,0.562495887,0.338113574,0.088713435,0.655785946,0.344215279,1.698705268
q15_sl_friends,0.66134442,0.055516021,0.03946998,0.493206056,0.506791191,1.021265872
q8_talk_badday,0.966049374,-0.02590873,2.54E-06,0.91058609,0.089414418,1.001438545
q18_imp_treat_event,0.599021643,0.065084527,-0.009845571,0.39565022,0.604359594,1.024153544
q3_getalong_fam,0.081740563,0.772517152,-0.052303429,0.650766396,0.349232577,1.031657798
q_32,0.84556325,0.181834461,-0.188621758,0.81735544,0.182644754,1.19571076
q4_easier_tasks,0.07583577,0.824137635,-0.201571586,0.726445373,0.273552694,1.13709089
