question,ML2,ML1,ML3,h2,u2,com
r07,0.6912180404757133,0.06280891806868025,-0.07921485525896949,0.4531980348131931,0.5468029106566498,1.042987326057561
r08,0.4835757682977672,-0.07829944863618846,0.24311824589557612,0.3863637328309244,0.6136387070265834,1.5365574629979335
r11,0.14591667035586997,-0.006217939339387873,0.683410069532715,0.5795854215755512,0.4204134472942014,1.0911589319561283
r16,0.030434604222608207,0.8111274686603441,7.598893294677132e-4,0.669361982956718,0.33063801672851245,1.0028174568198822
r19,-0.011590598574786845,0.9033079184597007,-0.016302531291099032,0.8069944558019093,0.19300536465794982,1.0009808217506493
r20,-0.0054127025002163875,0.6196569870338033,0.03608899041435053,0.3916097809204372,0.6083865066204972,1.0069368963045664
r24,0.7502349627326069,0.05766459236518249,0.013618211576784556,0.5941712004955393,0.40582809634548556,1.012477988781121
r26,0.5577649876779118,0.22730955619913878,-0.03241006724992335,0.39708718850236213,0.6029121004816449,1.330914409446228
r27,0.8032841739547816,-0.11524258152051263,0.04727619061256366,0.6558027952206918,0.34419763404477666,1.048213075549233
r32,-0.05055453295537987,0.02550869236116277,0.8676324299020277,0.7223159205379595,0.27768358215805344,1.0085246638846448
r36,0.007440270115600611,0.46048885645686194,0.24284356726147346,0.31361743388068775,0.6863831524459871,1.516905349404594
